1000.000000 56035 33306 
3000.000000 55783 33309 
5000.000000 55529 33308 
7000.000000 55275 33310 
9000.000000 55014 33307 
11000.000000 54752 33308 
13000.000000 54487 33307 
15000.000000 54219 33310 
17000.000000 53950 33306 
19000.000000 53680 33305 
21000.000000 53405 33306 
23000.000000 53131 33309 
25000.000000 52848 33308 
27000.000000 52569 33310 
29000.000000 52289 33309 
31000.000000 52004 33308 
33000.000000 51720 33308 
35000.000000 51436 33309 
37000.000000 51146 33307 
39000.000000 50854 33310 
41000.000000 50556 33304 
43000.000000 50259 33306 
45000.000000 49964 33307 
47000.000000 49666 33305 
49000.000000 49366 33307 
51000.000000 49060 33308 
53000.000000 48755 33308 
55000.000000 48453 33306 
57000.000000 48148 33311 
59000.000000 47838 33309 
61000.000000 47528 33305 
63000.000000 47215 33306 
65000.000000 46908 33307 
67000.000000 46591 33310 
69000.000000 46276 33309 
71000.000000 45959 33310 
73000.000000 45644 33308 
75000.000000 45320 33306 
77000.000000 45000 33309 
79000.000000 44680 33307 
81000.000000 44357 33306 
83000.000000 44030 33303 
85000.000000 43705 33307 
87000.000000 43378 33307 
89000.000000 43050 33307 
91000.000000 42721 33308 
93000.000000 42400 33308 
95000.000000 42065 33308 
97000.000000 41735 33308 
99000.000000 41405 33310 
101000.000000 41070 33308 
103000.000000 40736 33306 
105000.000000 40403 33307 
107000.000000 40072 33307 
109000.000000 39739 33307 
111000.000000 39398 33308 
113000.000000 39061 33307 
115000.000000 38719 33308 
117000.000000 38386 33307 
119000.000000 38047 33307 
121000.000000 37706 33308 
123000.000000 37370 33306 
125000.000000 37032 33302 
127000.000000 36689 33310 
129000.000000 36348 33307 
131000.000000 36006 33309 
133000.000000 35667 33310 
135000.000000 35325 33312 
137000.000000 34985 33307 
139000.000000 34647 33305 
141000.000000 34300 33308 
143000.000000 33960 33309 
145000.000000 33619 33304 
147000.000000 33273 33302 
149000.000000 32932 33307 
151000.000000 32589 33310 
153000.000000 32247 33309 
155000.000000 31908 33307 
157000.000000 31567 33306 
159000.000000 31223 33305 
161000.000000 30880 33306 
163000.000000 30543 33305 
165000.000000 30203 33306 
167000.000000 29857 33303 
169000.000000 29511 33307 
171000.000000 29177 33308 
173000.000000 28839 33310 
175000.000000 28499 33308 
177000.000000 28161 33307 
179000.000000 27820 33307 
181000.000000 27485 33308 
183000.000000 27153 33306 
185000.000000 26814 33307 
187000.000000 26478 33302 
189000.000000 26138 33308 
191000.000000 25803 33306 
193000.000000 25470 33307 
195000.000000 25136 33305 
197000.000000 24804 33305 
199000.000000 24465 33303 
201000.000000 24137 33304 
203000.000000 23807 33304 
205000.000000 23474 33309 
207000.000000 23150 33310 
209000.000000 22822 33304 
211000.000000 22496 33309 
213000.000000 22167 33311 
215000.000000 21841 33309 
217000.000000 21519 33309 
219000.000000 21198 33304 
221000.000000 20879 33304 
223000.000000 20555 33307 
225000.000000 20239 33307 
227000.000000 19922 33305 
229000.000000 19608 33304 
231000.000000 19290 33306 
233000.000000 18977 33306 
235000.000000 18662 33310 
237000.000000 18349 33307 
239000.000000 18044 33304 
241000.000000 17738 33305 
243000.000000 17432 33305 
245000.000000 17129 33307 
247000.000000 16821 33307 
249000.000000 16525 33307 
251000.000000 16223 33305 
253000.000000 15929 33310 
255000.000000 15635 33306 
257000.000000 15340 33306 
259000.000000 15048 33308 
261000.000000 14757 33307 
263000.000000 14471 33306 
265000.000000 14187 33305 
267000.000000 13904 33304 
269000.000000 13619 33305 
271000.000000 13342 33302 
273000.000000 13064 33304 
275000.000000 12786 33303 
277000.000000 12513 33304 
279000.000000 12241 33308 
281000.000000 11976 33305 
283000.000000 11707 33307 
285000.000000 11445 33308 
287000.000000 11182 33306 
289000.000000 10923 33309 
291000.000000 10665 33310 
293000.000000 10412 33308 
295000.000000 10159 33305 
297000.000000 9914 33304 
299000.000000 9665 33310 
301000.000000 9421 33306 
303000.000000 9180 33305 
305000.000000 8940 33307 
307000.000000 8704 33306 
309000.000000 8471 33307 
311000.000000 8240 33305 
313000.000000 8012 33300 
315000.000000 7787 33304 
317000.000000 7564 33305 
319000.000000 7349 33308 
321000.000000 7129 33305 
323000.000000 6914 33307 
325000.000000 6708 33307 
327000.000000 6498 33308 
329000.000000 6295 33307 
331000.000000 6094 33305 
333000.000000 5895 33307 
335000.000000 5696 33304 
337000.000000 5507 33304 
339000.000000 5318 33305 
341000.000000 5132 33308 
343000.000000 4945 33305 
345000.000000 4766 33306 
347000.000000 4588 33305 
349000.000000 4413 33306 
351000.000000 4242 33305 
353000.000000 4074 33302 
355000.000000 3908 33303 
357000.000000 3745 33306 
359000.000000 3589 33306 
361000.000000 3433 33307 
363000.000000 3278 33309 
365000.000000 3129 33305 
367000.000000 2983 33304 
369000.000000 2839 33305 
371000.000000 2699 33308 
373000.000000 2560 33305 
375000.000000 2421 33306 
377000.000000 2290 33301 
379000.000000 2162 33303 
381000.000000 2036 33305 
383000.000000 1911 33306 
385000.000000 1796 33305 
387000.000000 1677 33305 
389000.000000 1561 33306 
391000.000000 1450 33305 
393000.000000 1341 33304 
395000.000000 1233 33304 
397000.000000 1130 33306 
399000.000000 1027 33304 
401000.000000 928 33305 
403000.000000 834 33308 
405000.000000 741 33306 
407000.000000 648 33307 
409000.000000 561 33307 
411000.000000 473 33305 
413000.000000 387 33304 
415000.000000 303 33307 
417000.000000 226 33306 
419000.000000 143 33305 
421000.000000 70 33304 
423000.000000 0 33305 
425000.000000 0 33306 
427000.000000 0 33304 
429000.000000 0 33304 
431000.000000 0 33304 
