1000.000000 44387 33308 42407 
4000.000000 43895 33309 41535 
7000.000000 43411 33309 40751 
10000.000000 42914 33307 40041 
13000.000000 42423 33307 39403 
16000.000000 41926 33308 38826 
19000.000000 41429 33307 38300 
22000.000000 40936 33306 37828 
25000.000000 40429 33309 37401 
28000.000000 39928 33309 37014 
31000.000000 39425 33307 36665 
34000.000000 38923 33310 36348 
37000.000000 38418 33309 36060 
40000.000000 37906 33308 35799 
43000.000000 37396 33307 35562 
46000.000000 36888 33310 35349 
49000.000000 36371 33308 35155 
52000.000000 35862 33309 34980 
55000.000000 35356 33306 34820 
58000.000000 34841 33305 34676 
61000.000000 34327 33308 34542 
64000.000000 33820 33308 34423 
67000.000000 33299 33306 34316 
70000.000000 32788 33309 34219 
73000.000000 32276 33309 34131 
76000.000000 31759 33309 34052 
79000.000000 31245 33310 33977 
82000.000000 30733 33307 33909 
85000.000000 30225 33307 33849 
88000.000000 29713 33310 33792 
91000.000000 29200 33307 33744 
94000.000000 28690 33307 33700 
97000.000000 28182 33307 33659 
100000.000000 27671 33308 33621 
103000.000000 27166 33304 33584 
106000.000000 26657 33311 33556 
109000.000000 26158 33309 33525 
112000.000000 25654 33309 33500 
115000.000000 25153 33310 33478 
118000.000000 24651 33308 33456 
121000.000000 24154 33307 33437 
124000.000000 23655 33307 33417 
127000.000000 23167 33307 33404 
130000.000000 22676 33308 33387 
133000.000000 22183 33308 33374 
136000.000000 21697 33307 33362 
139000.000000 21213 33304 33353 
142000.000000 20733 33306 33342 
145000.000000 20253 33309 33331 
148000.000000 19777 33308 33324 
151000.000000 19303 33309 33318 
154000.000000 18830 33311 33311 
157000.000000 18369 33307 33303 
160000.000000 17906 33306 33296 
163000.000000 17443 33305 33291 
166000.000000 16987 33306 33286 
169000.000000 16530 33307 33283 
172000.000000 16085 33308 33279 
175000.000000 15645 33305 33274 
178000.000000 15200 33306 33272 
181000.000000 14762 33304 33268 
184000.000000 14331 33308 33266 
187000.000000 13903 33305 33261 
190000.000000 13483 33309 33260 
193000.000000 13065 33311 33260 
196000.000000 12647 33308 33257 
199000.000000 12244 33308 33255 
202000.000000 11844 33305 33253 
205000.000000 11443 33307 33252 
208000.000000 11050 33303 33250 
211000.000000 10663 33304 33247 
214000.000000 10281 33306 33249 
217000.000000 9901 33304 33248 
220000.000000 9534 33306 33247 
223000.000000 9171 33304 33246 
226000.000000 8815 33307 33245 
229000.000000 8463 33304 33244 
232000.000000 8116 33307 33242 
235000.000000 7778 33307 33243 
238000.000000 7447 33305 33243 
241000.000000 7116 33307 33243 
244000.000000 6799 33306 33242 
247000.000000 6486 33306 33241 
250000.000000 6180 33302 33241 
253000.000000 5879 33306 33240 
256000.000000 5589 33308 33239 
259000.000000 5301 33305 33241 
262000.000000 5019 33306 33239 
265000.000000 4748 33306 33240 
268000.000000 4481 33309 33240 
271000.000000 4221 33304 33240 
274000.000000 3974 33307 33241 
277000.000000 3728 33307 33241 
280000.000000 3486 33306 33238 
283000.000000 3255 33305 33237 
286000.000000 3030 33305 33239 
289000.000000 2815 33307 33239 
292000.000000 2607 33304 33239 
295000.000000 2401 33304 33239 
298000.000000 2202 33306 33239 
301000.000000 2011 33305 33241 
304000.000000 1827 33309 33241 
307000.000000 1651 33304 33240 
310000.000000 1479 33310 33241 
313000.000000 1316 33304 33239 
316000.000000 1155 33306 33240 
319000.000000 1002 33306 33239 
322000.000000 852 33303 33239 
325000.000000 710 33307 33241 
328000.000000 575 33306 33240 
331000.000000 446 33305 33240 
334000.000000 317 33303 33239 
337000.000000 200 33306 33241 
340000.000000 81 33307 33240 
343000.000000 0 33306 33241 
346000.000000 0 33307 33242 
349000.000000 0 33307 33242 
352000.000000 0 33306 33244 
355000.000000 0 33302 33241 
358000.000000 0 33305 33243 
361000.000000 0 33307 33243 
364000.000000 0 33305 33244 
367000.000000 0 33308 33243 
370000.000000 0 33309 33243 
373000.000000 0 33306 33243 
376000.000000 0 33304 33242 
379000.000000 0 33305 33243 
382000.000000 0 43809 34302 
385000.000000 0 43810 35212 
388000.000000 0 43807 36032 
391000.000000 0 43809 36771 
394000.000000 0 43806 37440 
397000.000000 0 43805 38041 
400000.000000 0 43809 38589 
403000.000000 0 43808 39082 
406000.000000 0 43809 39529 
409000.000000 0 43812 39930 
412000.000000 0 43808 40296 
415000.000000 0 43808 40627 
418000.000000 0 43807 40923 
421000.000000 70 43808 41194 
424000.000000 189 43810 41440 
427000.000000 306 43808 41661 
430000.000000 430 43811 41862 
433000.000000 563 43808 42042 
436000.000000 699 43806 42207 
439000.000000 844 43805 42354 
442000.000000 992 43809 42488 
445000.000000 1144 43808 42610 
448000.000000 1304 43810 42720 
451000.000000 1470 43809 42820 
454000.000000 1641 43809 42911 
457000.000000 1819 43809 42996 
460000.000000 2001 43809 43067 
463000.000000 2193 43808 43135 
466000.000000 2389 43811 43196 
469000.000000 2595 43807 43253 
472000.000000 2802 43808 43301 
475000.000000 3020 43807 43347 
478000.000000 3244 43807 43390 
481000.000000 3477 43808 43424 
484000.000000 3716 43809 43460 
487000.000000 3963 43810 43490 
490000.000000 4216 43809 43518 
493000.000000 4468 43809 43544 
496000.000000 4734 43810 43566 
499000.000000 5004 43810 43589 
502000.000000 5287 43808 43607 
505000.000000 5571 43809 43625 
508000.000000 5867 43809 43639 
511000.000000 6159 43808 43653 
514000.000000 6466 43807 43666 
517000.000000 6778 43808 43677 
520000.000000 7093 43809 43689 
523000.000000 7423 43809 43699 
526000.000000 7758 43810 43708 
529000.000000 8091 43809 43717 
