1000.000000 0 43859 41785 40630 
5000.000000 0 43861 41984 40774 
9000.000000 0 43862 42164 40924 
13000.000000 0 43860 42322 41077 
17000.000000 144 43859 42470 41229 
21000.000000 305 43859 42604 41378 
25000.000000 470 43859 42722 41522 
29000.000000 649 43861 42830 41665 
33000.000000 833 43860 42928 41803 
37000.000000 1027 43861 43018 41935 
41000.000000 1229 43861 43096 42062 
45000.000000 1446 43862 43168 42185 
49000.000000 1669 43861 43235 42300 
53000.000000 1904 43864 43293 42408 
57000.000000 2151 43863 43345 42513 
61000.000000 2409 43860 43393 42611 
65000.000000 2678 43860 43437 42704 
69000.000000 2959 43860 43478 42792 
73000.000000 3251 43859 43514 42874 
77000.000000 3559 43860 43545 42948 
81000.000000 3873 43861 43573 43021 
85000.000000 4200 43861 43601 43088 
89000.000000 4541 43861 43626 43151 
93000.000000 4891 43861 43646 43209 
97000.000000 5258 43862 43664 43263 
101000.000000 5631 43860 43683 43315 
105000.000000 6017 43863 43700 43360 
109000.000000 6417 43862 43712 43405 
113000.000000 6827 43863 43727 43444 
117000.000000 7247 43862 43740 43481 
121000.000000 7678 43862 43747 43517 
125000.000000 8124 43863 43759 43548 
129000.000000 8577 43862 43767 43577 
133000.000000 9043 43861 43775 43604 
137000.000000 9515 43864 43780 43631 
141000.000000 9999 43862 43787 43652 
145000.000000 10497 43864 43794 43675 
149000.000000 11002 43863 43799 43692 
153000.000000 11521 43862 43805 43712 
157000.000000 12044 43863 43809 43728 
161000.000000 12581 43861 43815 43744 
165000.000000 13121 43862 43818 43757 
169000.000000 13671 43863 43821 43772 
173000.000000 14232 43862 43825 43782 
177000.000000 14796 43864 43828 43795 
181000.000000 15370 43864 43828 43805 
185000.000000 15952 43864 43831 43814 
189000.000000 16546 43864 43833 43822 
193000.000000 17137 43864 43836 43833 
197000.000000 17741 43866 43837 43839 
201000.000000 18348 43867 43838 43844 
205000.000000 18965 43864 43840 43850 
209000.000000 19584 43864 43842 43857 
213000.000000 20209 43863 43844 43862 
217000.000000 20842 43865 43845 43867 
221000.000000 21471 43871 43847 43870 
225000.000000 22114 43868 43847 43875 
229000.000000 22754 43864 43847 43880 
233000.000000 23406 43870 43850 43883 
237000.000000 24059 43868 43852 43886 
241000.000000 24708 43869 43853 43890 
245000.000000 25367 43870 43852 43894 
249000.000000 26033 43866 43853 43894 
253000.000000 26695 43869 43854 43899 
257000.000000 27357 43869 43855 43901 
261000.000000 28031 43871 43857 43903 
265000.000000 28704 43873 43859 43905 
269000.000000 29370 43872 43857 43906 
273000.000000 30041 43873 43860 43907 
277000.000000 30718 43873 43860 43909 
281000.000000 31391 43875 43861 43911 
285000.000000 32064 43876 43861 43912 
289000.000000 32741 43876 43861 43913 
293000.000000 33423 43878 43862 43915 
297000.000000 34099 43880 43863 43917 
301000.000000 34768 43881 43865 43918 
305000.000000 35454 43887 43865 43920 
309000.000000 36122 43885 43866 43920 
313000.000000 36799 43886 43869 43923 
317000.000000 37475 43891 43869 43923 
321000.000000 38140 43895 43871 43924 
325000.000000 38810 43901 43874 43926 
329000.000000 39477 43909 43876 43929 
333000.000000 40140 43921 43878 43928 
337000.000000 40799 43937 43884 43930 
341000.000000 41456 43957 43887 43933 
345000.000000 42118 43982 43896 43937 
349000.000000 42772 44019 43906 43941 
353000.000000 43417 44060 43916 43944 
357000.000000 44057 44116 43933 43950 
361000.000000 44700 44188 43954 43959 
365000.000000 45332 44279 43983 43967 
369000.000000 45963 44401 44019 43982 
373000.000000 46595 44544 44069 43998 
377000.000000 47217 44722 44129 44017 
381000.000000 47832 44923 44202 44045 
385000.000000 48439 45152 44291 44079 
389000.000000 49044 45404 44397 44121 
393000.000000 49641 45675 44517 44170 
397000.000000 50236 45968 44654 44230 
401000.000000 50816 46276 44809 44299 
405000.000000 51393 46600 44979 44379 
409000.000000 51967 46941 45168 44471 
413000.000000 52534 47292 45369 44575 
417000.000000 53085 47660 45585 44687 
421000.000000 53629 48037 45822 44817 
425000.000000 54168 48422 46070 44957 
429000.000000 54694 48816 46331 45110 
433000.000000 55214 49220 46608 45277 
437000.000000 55721 49629 46896 45456 
441000.000000 56226 50046 47199 45650 
445000.000000 56716 50466 47513 45855 
449000.000000 57197 50890 47835 46073 
453000.000000 57669 51321 48170 46303 
457000.000000 58133 51749 48512 46543 
461000.000000 58583 52178 48865 46798 
465000.000000 59026 52609 49222 47062 
469000.000000 59456 53039 49591 47337 
473000.000000 59873 53469 49963 47623 
477000.000000 60276 53898 50340 47918 
481000.000000 60676 54326 50724 48221 
485000.000000 61059 54750 51111 48534 
489000.000000 61435 55171 51502 48859 
493000.000000 61798 55587 51896 49188 
497000.000000 62145 56003 52291 49524 
501000.000000 62487 56408 52688 49868 
505000.000000 62815 56812 53083 50214 
509000.000000 63124 57210 53482 50568 
513000.000000 63431 57602 53878 50926 
517000.000000 63722 57988 54274 51290 
521000.000000 63998 58368 54669 51653 
525000.000000 64275 58742 55062 52023 
529000.000000 64531 59106 55451 52394 
533000.000000 64776 59463 55839 52768 
537000.000000 65014 59813 56220 53138 
541000.000000 65239 60156 56601 53514 
545000.000000 65454 60491 56975 53887 
549000.000000 65535 60818 57344 54263 
553000.000000 65535 61134 57710 54634 
557000.000000 65535 61444 58071 55006 
561000.000000 65535 61747 58426 55376 
565000.000000 65535 62041 58772 55743 
569000.000000 65535 62326 59117 56107 
573000.000000 65535 62603 59454 56468 
577000.000000 65535 62868 59785 56826 
581000.000000 65535 63129 60105 57182 
585000.000000 65535 63376 60423 57530 
